ELCODE_BCD,sp_code_calc
AAABC02090,hylafemo
AAABC02120,hylasqui
AAABC02130,hylavers
AAABC05010,pseubrac
AAABC05020,pseubrim
AAABC05040,pseunigr
AAABC05090,pseucruc
AAABC05110,pseuocul
AAABC05120,pseuferi
AAABC05140,pseukalm
AAABE01010,gastcaro
AAABF01040,scapholb
AAABH01070,ranacate
AAABH01090,ranaclam
AAABH01160,ranapalu
AAABH01200,ranasylv
AAABH01220,ranasphe
AAABH01230,lithvirg1
ABNBA01010,gavistel
ABNBA01030,gaviimme
ABNCA02010,podipodi
ABNCA03010,podiauri
ABNCA03020,podigris
ABNCA03030,podinigr
ABNCA04010,aechocci
ABNDA01070,thalchlo
ABNDB01010,fulmglac
ABNDB03010,pterhasi
ABNDB06020,calodiom
ABNDB07030,puffgrav
ABNDB07060,puffgris
ABNDB07090,puffpuff
ABNDB07130,pufflher
ABNDC01010,oceaocea
ABNDC02010,pelamari
ABNDC04170,hydrcast1
ABNDC04130,ocealeuc
ABNFA01010,phaelept
ABNFB01030,sulaleuc
ABNFB02010,morubass
ABNFC01010,peleeryt
ABNFC01020,peleocci
ABNFC01022,peleoccicaro
ABNFD01010,phalcarb
ABNFD01020,nannauri
ABNFE01010,anhianhi
ABNFF01010,fregmagn
ABNGA01020,botalent
ABNGA02010,ixobexil
ABNGA04010,ardehero
ABNGA04040,ardealba
ABNGA06020,egregarz
ABNGA06030,egrethul
ABNGA06040,egrecaer
ABNGA06050,egretric
ABNGA06060,egrerufe
ABNGA07010,bubuibis
ABNGA08010,butovire
ABNGA11010,nyctnyct
ABNGA13010,nyctviol
ABNGE01010,eudoalbu
ABNGE02010,plegfalc
ABNGE02020,plegchih
ABNGF02010,myctamer
ABNHA01010,phoerube
ABNJB01010,dendbico
ABNJB01040,dendautu
ABNJB02010,cygncolu
ABNJB02030,cygnbucc
ABNJB02040,cygnolor
ABNJB03040,ansealbi
ABNJB04010,chencaer
ABNJB04020,chenross
ABNJB05010,branbern
ABNJB05020,branleuc
ABNJB05030,brancana
ABNJB09010,aixspon
ABNJB10010,anascrec
ABNJB10040,anasrubr
ABNJB10200,anasplat
ABNJB10100,anasbaha
ABNJB10110,anasacut
