ELCODE_BCD,sp_code_calc
IILEW0S010,anthpoly
IILEW0X020,callangu
IILEW0X030,callsecu
IILEW0Y010,hyalcecr
IILEX01010,agricing
IILEX04010,mandsext
IILEX04020,mandquin
IILEX04040,mandrust
IILEX04090,mandjasm
IILEX05010,dolbhylo
IILEX07010,ceraamyn
IILEX07020,ceraundu
IILEX07040,ceracata
IILEX08010,isopcupr
IILEX0A010,parapleb
IILEX0B030,linterem
IILEX0B090,sphicher
IILEX0B150,sphifran
IILEX0B160,sphikalm
IILEX0B170,sphigord
IILEX0B190,sphidrup
IILEX0C010,lapaconi
IILEX0C020,lapabomb
IILEX0F010,smerjama
IILEX0G010,paonexca
IILEX0G020,paonmyop
IILEX0G030,paonasty
IILEX0H010,amorjugl
IILEX0J010,pachmode
IILEX0W010,hemathys
IILEX0W020,hemagrac
IILEX0W070,hemadiff
IILEX0X030,eumopand
IILEX0X050,eumoache
IILEX0X090,eumofasc
IILEX0Z010,spheabbo
IILEX10010,deidinsc
IILEX12010,amphflor
IILEX16010,daravers
IILEX16020,daramyro
IILEX16030,darachoe
IILEX17040,xyloters
IILEX18030,hyleline
IILEY03010,nadagibb
IILEY07010,pheoeleg
IILEY0H010,symmalbi
IILEY0U010,macrmart
IILEY0V010,heteasta
IILEY0V140,heteumbr
IILEY0V180,hetegutt
IILEY0V190,hetebiun
IILEY10060,schiapic
IILEY10070,schiconc
IILEY11010,oligsemi
IILEY11060,oliglign
IILEY1G010,manubico
IILEY1H100,cramcast
IILEY1H110,crampura
IILEY1H120,cramceph
IILEY1HX30,cramxant
IILEY1N090,cistplum
IILEY1N140,cistpack
IILEY1S010,hypomini
IILEY1S020,hypofuco
IILEY1V030,clemalba
IILEY22020,haplcolo
IILEY24010,hololaet
IILEY24040,virbferr
IILEY24060,virbnigr
IILEY24120,virbimma
IILEY28010,pyrrisab
IILEY2Q010,arctcaja
IILEY2U020,halytess
IILEY2V090,lophmacu
IILEY34070,cycncoll
IILEY39070,pygaabdo
IILEY3D060,ctenvirg
IILEY3V110,dasyobli
IILEY3V130,dasyplag
IILEY3V140,dasypini
IILEY3W090,orgyleuc
IILEY3X010,lymadisp
IILEY40120,idiamajo
IILEY43020,zancther
IILEY43110,zancmart
IILEY43X10,zancdent
IILEY45050,macrloui
IILEY45060,macrhypo
IILEY4F010,paltangu
IILEY4L040,oxycmito
IILEY53020,bomobalt
IILEY53090,hypesord
IILEY53130,hypeedic
IILEY57010,platscab
IILEY5G010,pangdeco
IILEY5K070,metarich
IILEY5L010,aruglati
IILEY5L030,aruglute
IILEY6S030,panorepa
IILEY6T010,phobatom
IILEY6W100,melijucu
IILEY6Y030,drasgrap
IILEY7G010,metramel
IILEY7P060,zaleluna
IILEY7P160,zaleobli
IILEY7P190,zalesubm
IILEY7P250,zalemeta
IILEY7P260,zalecure
IILEY7P300,zaleluni
IILEY7P310,zalecaly
IILEY7P370,zalesp2
IILEY7P380,zalesp3
IILEY7P390,zaleinte
IILEY7S010,alloelon
IILEY7U030,gondsmit
IILEY7U040,gondtelm
IILEY7W010,parabist
IILEY7X010,cutialut
IILEY7X020,cutidist
IILEY85020,pticherb
IILEY85030,pticbist
IILEY86060,argysylv
IILEY86080,argyquad
IILEY86090,argydele
IILEY89010,catoinnu
IILEY89020,catopiat
IILEY89030,catocons
IILEY89040,catoepio
IILEY89050,catomuli
IILEY89060,catoanti
IILEY89090,catohabi
IILEY89100,catosere
IILEY89110,catorobi
IILEY89120,catojudi
IILEY89130,catofleb
IILEY89140,catoangu
IILEY89150,catoobsc
IILEY89160,catoresi
IILEY89170,catosapp
IILEY89180,catoagri
IILEY89190,catorete
IILEY89200,catoulal
IILEY89210,catodeje
IILEY89220,catoinso
IILEY89230,catovidu
IILEY89240,catomaes
IILEY89250,catolacr
IILEY89260,catopala
IILEY89270,catonebu
IILEY89280,catosubn
IILEY89290,catoneog
IILEY89320,catoilia
IILEY89330,catocero
IILEY89340,catoreli
IILEY89350,catomarm
IILEY89360,catounij
IILEY89370,catopart
IILEY89630,catocara
IILEY89650,catoconc
IILEY89660,catoamat
IILEY89770,catomess
IILEY89780,catosord
IILEY89790,catograc
IILEY89810,catoandr
IILEY89820,catohero
IILEY89821,catoherogerh
IILEY89830,catococc
IILEY89870,catomira1
IILEY89890,catoultr
IILEY89900,catocrat
IILEY89910,catopret
IILEY89911,catopretpret
IILEY89960,catomira2
IILEY89970,catogryn
IILEY89980,catoprae
IILEY89A00,catoblan
IILEY89A40,catodulc
IILEY89A50,catoclin
IILEY89A60,catosimi
IILEY89A90,catomicr
IILEY89B00,catoconn
IILEY89B10,catoamic
IILEY89B20,catoline
IILEY89B70,catoumbr
IILEY89X10,catosp1
IILEY8A010,abrooval
IILEY8J020,diacball
IILEY8M020,polymori
IILEY8R030,autoprec
IILEY8R180,autoampl
IILEY8S010,anagfalc
IILEY8T150,syngalia
IILEY8T180,syngrect
IILEY8W020,marabasa
IILEY8X040,paecabro1
IILEY8X060,paecabro2
IILEY8Y010,eutepulc
IILEY95010,megaminu
IILEY96030,nolasorg
IILEY9A030,exyrridi
IILEY9B010,oruzalbo
IILEY9E010,ozaraeri
IILEY9M010,lithbell
IILEY9M030,protalbi
IILEY9M050,lithconc
IILEY9M110,protsp1
IILEY9N010,homocris
IILEY9R010,argifurc
IILEY9S010,cermcora
IILEYAC020,spradama
IILEYAD140,taradele
IILEYAG020,bagirect
IILEYAH010,pantacro
IILEYAH060,pantfurc
IILEYAQ050,acrodact
IILEYAQ110,acroradc
IILEYAQ180,acroalba
IILEYAQ230,acrofune
IILEYAQ280,acrosupe
IILEYAQ360,acrospin
IILEYAQ430,acroovat
IILEYAQ450,acrohaes
IILEYAQ470,acrotris
IILEYAQ480,acrosubo
IILEYAQ550,acrobrum
IILEYAR030,acrodoll
IILEYAU010,polyhebr
IILEYB9050,apamcari
IILEYB9090,apamlign
IILEYB9200,apamplut
IILEYB9260,apamsmyt
IILEYB9400,apamsord
IILEYB9430,apamsp1
IILEYBG080,neolexha
IILEYBG100,neolcryt
IILEYBG150,oligbrid
IILEYBK010,merocosm
IILEYBK030,merotita
IILEYBK040,merodive
IILEYBS010,franinte
IILEYBV020,archoblo
IILEYBV030,globsubf
IILEYBY050,loscrobl
IILEYC0020,papaduov
IILEYC0030,papacata
IILEYC0060,papapoly
IILEYC0070,papaaral
IILEYC0080,papaarct
IILEYC0100,papaimpe
IILEYC0140,papaastu
IILEYC0160,papalysi
IILEYC0170,papapter
IILEYC0180,papasten
IILEYC0190,papaspec
IILEYC0200,papainqu
IILEYC0210,paparuti
IILEYC0220,papabapt
IILEYC0270,papaneph
IILEYC0280,papacirc
IILEYC0290,papamarg
IILEYC0320,papafurc
IILEYC0330,papanebr
IILEYC0340,papaneco
IILEYC0360,papadupl
IILEYC0380,papaeupa
IILEYC0390,papaneli
IILEYC0400,paparigi
IILEYC0420,papaceru
IILEYC0460,papaunim
IILEYC0490,papainsu
IILEYC0X30,papasp3
IILEYC4020,bellbreh
IILEYC4050,bellanoa
IILEYC4060,bellvuln
IILEYCG020,hyppcont
IILEYCKX20,propcost
IILEYCZ030,callgran
IILEYD1010,acheferr
IILEYD3010,amphpyra
IILEYDB020,balstris
IILEYDC050,spodorni
IILEYDE060,elapgeor
IILEYDP020,emarperc
IILEYDQ010,ogdocine
IILEYDZ030,plagpity
IILEYEP020,amolobli
IILEYEP040,amolrose
IILEYFE040,lithinno
IILEYFE050,lithpetu
IILEYFE070,lithdisp
IILEYFE150,lithlemm
IILEYFE200,lithquer
IILEYFE290,lithgeor
IILEYFE410,lithlepi
IILEYFE411,lithadip
IILEYFK050,metaviol
IILEYFM020,chaetrem
IILEYFS010,sunibico
IILEYFW010,platance
IILEYFX010,xylocapa
IILEYG5040,feracoms
IILEYG6010,bracbore
IILEYG7010,psapelec
IILEYG7020,psapgran
IILEYGA020,psapthax
IILEYN3370,sympbadi
IILEYGW010,symppers
IILEYH7050,cucualfa
IILEYH7100,cucuflor
IILEYH7130,cucuaste
IILEYHL020,sidecong
IILEYHP080,polipurp
IILEYJ0040,melaassi
IILEYJ4010,hadeecty
IILEYJB030,lacilust
IILEYJB300,lacireni
IILEYJB390,lacioliv
IILEYJB470,laciimpl
IILEYJE050,dargrubr
IILEYJG010,pseuunip
IILEYJH010,leuccali
IILEYJH100,leuccomm
IILEYJM140,orthrevi
IILEYJS060,morrtria
IILEYKG030,tricnota
IILEYKL010,agrovetu
IILEYKL230,agroipsi
IILEYKL240,agrosubt
IILEYKN050,feltsubg
IILEYKN070,feltheri
IILEYKS020,feltmani
IILEYKS040,feltgeni
IILEYKV040,euxomess
IILEYKV1K0,euxoimmi
IILEYKV1M0,euxodecl
IILEYKV2D0,euxofuma
IILEYKV2R0,euxoscho
IILEYKV380,euxoviol
IILEYKV3A0,euxobost
IILEYKV3F0,euxoobel
IILEYKV4F0,euxoredi
IILEYL1010,dichgrot
IILEYLC020,diarrubi
IILEYLH020,grapaugu
IILEYLN030,xestmegadolo
IILEYLN110,pseubica
IILEYLN120,pseutenu
IILEYLN160,agnobadi
IILEYLN260,xestelim
IILEYLN500,xestdilu
IILEYLP15X,apamnewgenu1
IILEYLP16X,apamnewgenu2
IILEYLP17X,apamnewgenu3
IILEYM1010,aplecond
IILEYM2010,anappras
IILEYM2030,anapbrun
IILEYM5010,euersigm
IILEYM5020,euerpera
IILEYM5030,eueratte
IILEYM9330,abaganch
IILEYM9390,abagmagn
IILEYMD010,derrstel
IILEYMK010,pyrraura
IILEYML020,psecheba
IILEYMM010,helizea
IILEYMP230,schibina
IILEYMP330,schisire
IILEYMP550,schinubi
IILEYMP580,schisatu
IILEYMP820,schiflor
IILEYN0070,hydrstra
IILEYN1010,apanphal
IILEYN1030,apannais
IILEYN5010,acrareli
IILEYN6010,protdani
IIMEC02040,bracjeff
IIMEC08100,borenivo
IIODO01010,tachthor
IIODO03020,corddias
IIODO03040,corderro
IIODO03060,cordmacu
IIODO03070,cordobli
IIODO03090,cordbili
IIODO04040,aphywill
IIODO05020,dromspin
IIODO06040,erpedesi
IIODO08080,stencons
IIODO08100,gompdila
IIODO08120,gompfrat
IIODO08130,gomphybr
IIODO08140,gompline
IIODO08180,stenroge
IIODO08190,gompsept
IIODO08200,gompvast
IIODO08210,gompvent
IIODO08230,phanbore
IIODO08270,phandesc
IIODO08290,gompexil
IIODO08340,gomplivi
IIODO08380,phanquad
IIODO08410,hyloabbr
IIODO08420,hyloadel
IIODO08430,hyloapom
IIODO08450,hyloparv
IIODO08460,hyloviri
IIODO09010,hagebrev
IIODO10010,lantparv
IIODO10020,lantvern
IIODO11010,stylalbi
IIODO11020,stylsigm
IIODO12040,ophiaspe
IIODO12060,ophicaro
IIODO12090,ophihowe
IIODO12100,ophiincu
IIODO12102,ophiincuincu
IIODO12110,ophimain
IIODO12150,ophirupi
IIODO12180,ophisusb
IIODO12211,ophiincualle
IIODO13060,progobsc
IIODO14020,aeshcana
IIODO14030,aeshclep
IIODO14040,aeshcons
IIODO14110,rhiomuta
IIODO14180,aeshtube
IIODO14190,aeshumbr
IIODO14191,aeshumbrumbr
IIODO14200,aeshvert
IIODO15020,anaxjuni
IIODO15030,anaxlong
IIODO16010,basijana
IIODO17010,boyegraf
IIODO17020,boyevino
IIODO18020,coryinge
IIODO19010,epiahero
IIODO20010,gompanti
IIODO20020,gompfurc
IIODO22010,nasipent
IIODO24020,triatrif
IIODO25020,didytran
IIODO26010,macralle
IIODO26050,macrilli
IIODO26051,macrilliilli
IIODO26052,macrilligeor
IIODO26070,macrmarg
IIODO26100,macrtaen
IIODO27010,cordshur
IIODO29010,epitprin
IIODO29030,epitcani
IIODO29040,epitcost
IIODO29050,epitcyno
IIODO29060,epitsemi
IIODO29090,epitspin
IIODO30010,helosely
IIODO30020,helouhle
IIODO31040,neurobso
IIODO31050,neurvirg
IIODO31070,neuryama
IIODO32050,somaelon
IIODO32070,somafilo
IIODO32100,somageor
IIODO32150,somaline
IIODO32190,somaprov
IIODO32230,somatene
IIODO32260,somawill
IIODO35010,bracgrav
IIODO37020,celibert
IIODO37030,celielis
IIODO37040,celiepon
IIODO37050,celifasc
IIODO37060,celimart
IIODO37080,celiorna
IIODO37090,celivern
IIODO38040,dythvelo
IIODO39060,erytsimp
IIODO40030,erytbere
IIODO40110,erytminu
IIODO44020,leucfrig
IIODO44040,leuchuds
IIODO44050,leucinta
IIODO44070,leucprox
IIODO45010,libeauri
IIODO45020,libeaxil
IIODO45060,libecyan
IIODO45070,libeflav
IIODO45090,libeince
IIODO45100,libeluct
IIODO45110,libeneed
IIODO45130,libepulc
IIODO45140,libequad
IIODO45160,libesemi
IIODO45170,libevibr
IIODO45180,ladoexus
IIODO45190,libelydi
IIODO45210,libedepl
IIODO45230,ladojuli
IIODO46010,macrbalt
IIODO48010,miatmarc
IIODO50010,nannbell
IIODO53010,pachlong
IIODO55010,pantflav
IIODO55020,panthyme
IIODO56050,peritene
IIODO61010,sympambi
IIODO61030,sympcorr
IIODO61020,sympinte
IIODO61090,sympobtr
IIODO61120,symprubi
IIODO61130,sympsemi
IIODO61140,sympvici
IIODO64030,tramcalv
IIODO64040,tramcaro
IIODO64050,tramlace
IIODO64060,tramonus
IIODO65010,caloaequ
IIODO65020,caloangu
IIODO65030,caloamat
IIODO65040,calodimi
IIODO65050,calomacu
IIODO66010,hetaamer
IIODO66020,hetatiti
IIODO67010,lestinae
IIODO67020,lestdrya
IIODO67030,lestforc
IIODO67040,lestcong
IIODO67051,lestdisj
IIODO67052,lestdisjaust
IIODO67060,lesteuri
IIODO67070,lestrect
IIODO67090,lestvigi
IIODO67160,lestvidu
IIODO68010,argibipu
IIODO68020,argitibi
IIODO68040,argiapic
IIODO68050,argifumi
IIODO68051,argifumiviol
IIODO68060,argimoes
IIODO68070,argisedu
IIODO68080,argitran
IIODO71040,enaltrav
IIODO71050,enalcaru
IIODO71060,enaldaec
IIODO71110,enalaspe
IIODO71120,enalbasi
IIODO71130,enalcivi
IIODO71150,enalanne
IIODO71160,enaldiva
IIODO71170,enaldoub
IIODO71180,enaldubi
IIODO71190,enalduru
IIODO71200,enalebri
IIODO71210,enalexsu
IIODO71220,enalgemi
IIODO71230,enalhage
IIODO71240,enalpall
IIODO71250,enalsign
IIODO71260,enalvesp
IIODO71270,enalweew
IIODO72020,ischkell
IIODO72030,ischposi
IIODO72040,ischprog
IIODO72050,ischramb
IIODO72060,ischvert
IIODO72140,ischhast
IIODO74010,nehainte
IIODO74020,nehairen
IIODO74030,nehagrac
IIODO75010,archgran
IIODO77010,amphsauc
IIODO78010,chrocond
IIODO80010,stylamni
IIODO80040,styllaur
IIODO80050,stylnota
IIODO80070,stylplag
IIODO80090,stylscud
IIODO80100,stylspin
IIODO81050,arigfurc
IIODO81070,arigvill
IIODO91010,telebyer
IIORT01280,melacela
IIORT01360,melaimpu
IIORT01870,meladevi
IIORT01K30,melapach
IIORT11020,appaheba
IIORT42020,scudsept
IIORT43010,carilute
IIPLE01010,alloauro
IIPLE01050,alloforb
IIPLE01080,allofumo
IIPLE01090,allogran
IIPLE01100,alloharp
IIPLE01110,alloilli
IIPLE01190,allomyst
IIPLE01290,allorick
IIPLE01310,allosimm
IIPLE01330,allostan
IIPLE01360,allovirg
IIPLE01370,allovivi
IIPLE07010,nemocaro
IIPLE08010,paraangu
IIPLE0B140,leucmitc
IIPLE0B160,leucmont
IIPLE0B240,leuctrun
IIPLE0G020,megaflin
IIPLE0M020,ostrcomp
IIPLE0M050,ostrprol
IIPLE0Q030,proshall
IIPLE0R010,shiprotu
IIPLE0S060,soyevall
IIPLE0U110,zapafumo
IIPLE0V010,boloross
IIPLE0X010,oemocont
IIPLE0Y010,stroappa
IIPLE0Y040,strofasc
IIPLE0Y050,strolima
IIPLE0Z010,taenatla
IIPLE0Z080,taenpaci
IIPLE10010,taenburk
IIPLE10020,taenlita
IIPLE10030,taenloni
IIPLE10040,taenmaur
IIPLE10050,taenmete
IIPLE10060,taennels
IIPLE10080,taenparv
IIPLE10120,taenugol
IIPLE11040,allobank
IIPLE11050,allobise
IIPLE11080,allochlo
IIPLE11140,alloidei
IIPLE11150,alloimbe
IIPLE11180,allonani
IIPLE11200,allonegl
IIPLE11240,alloatla
IIPLE11270,allousa
IIPLE11330,allopeta
IIPLE11350,allostip
IIPLE14010,haplbrev
IIPLE17010,rasvtern
IIPLE18040,suwamarg
IIPLE19120,swelmedi
IIPLE19130,swellate
IIPLE19150,swelnaic
IIPLE19170,swelonko
IIPLE19260,swelurti
IIPLE19270,swelvosh
IIPLE19320,swelpale
IIPLE1E010,peltarcu
IIPLE1E020,pelttart
IIPLE1H010,tallanna
IIPLE1H020,tallcorn
IIPLE1H050,tallloba
IIPLE1H060,tallmari
IIPLE1L010,acroabno
IIPLE1L020,acroaren
IIPLE1L040,acrocaro
IIPLE1L060,acrofili
IIPLE1L070,acroflin
IIPLE1L080,acrofris
IIPLE1L100,acrointe
IIPLE1L120,acrolyco
IIPLE1L140,acrokosz
IIPLE1L170,acrokirc
IIPLE1L180,acroyuch
IIPLE1M010,attarura
IIPLE1S010,hansappa
IIPLE1U060,perldeci
IIPLE1U070,perlfris
IIPLE1U120,perlplac
IIPLE1U160,perlteay
IIPLE1U200,perlrobl
IIPLE1U210,perlputt
IIPLE1U240,perlcran
IIPLE1U250,perlshaw
IIPLE1U260,perldurf
IIPLE1V010,perldrym
IIPLE1V020,perlephy
IIPLE1X010,neopcarl
IIPLE1X020,neopcath
IIPLE1X040,neopclym
IIPLE1X110,neopocci
IIPLE1Y010,agneannu
IIPLE1Y030,agneflav
IIPLE20010,parafumo
IIPLE20020,paraichu
IIPLE20030,paraimma
IIPLE20050,paramedi
IIPLE24280,isopnels
IIPLE24660,isoppowh
IIPLE24670,isoprees
IIPLE24680,isopstew
IIPLE24690,isopyuch
IIPLE2D020,cultdeci
IIPLE2D022,cultdeciisol
IIPLE2D060,cultvert
IIPLE2E010,dipldupl
IIPLE2E020,diplkana
IIPLE2E030,diplmorg
IIPLE2E040,diplrobu
IIPLE2J010,remebilo
IIPLE2J030,remekirc
IIPLE2N030,helosubv
IIPLE2Q050,isoghans
IIPLE2Q080,isogvari
IIPLE2R010,malihast
IIPLE2T010,yuguarin
IIPLE2T030,yugukirc
IIPLE2T040,yugukond
IIPLE2V010,pterbilo
IIPLE2V030,ptercoms
IIPLE2V040,pterdors
IIPLE2V070,pterprot
IIPLE2V080,pterscot
IITHS01020,litohoff
IITHS01030,litocook
IITHS01040,litosp4
IITHS01060,litosp1
IITHS01070,litofiel
IITHS01090,litosp2
IITHS01100,litopuck
IITHS01230,litosp10
IITHS01240,litosp11
IITRI01040,lepivern
IITRI01090,lepigris
IITRI01100,lepipict
IITRI01110,lepitoga
IITRI01120,lepisomm
IITRI01230,lepiexca
IITRI01350,lepimitc
IITRI01430,lepilati
IITRI02030,psillabi
IITRI02040,psilrufa
IITRI02060,psilross
IITRI03030,chimsoci
IITRI03060,chimaugu
IITRI03080,chimater
IITRI03100,chimobsc
IITRI03180,chimmose
IITRI04020,dolomajo
IITRI04030,dolodist
IITRI05090,polyclin
IITRI05100,polynasc
IITRI05110,polypent
IITRI05120,polyelar
IITRI05130,polyrick
IITRI05160,polyblic
IITRI05170,polycent
IITRI05180,polycine
IITRI05190,polyconf
IITRI05200,polycras
IITRI05210,polymacu
IITRI05240,polyinte2
IITRI09010,cerntrun
IITRI09020,cerncalc
IITRI09030,cernspic
IITRI15050,limnindi
IITRI15060,limnmoes
IITRI15100,limnsubm
IITRI19130,rhyaappa
IITRI19140,rhyaglab
IITRI19160,rhyavibo
IITRI19200,rhyaform
IITRI19210,rhyamino
IITRI19220,rhyanigr
IITRI19230,rhyatedd
IITRI19240,rhyatorv
IITRI19250,rhyashen
IITRI19260,rhyatric
IITRI19270,rhyacaro
IITRI19280,rhyacarp
IITRI19290,rhyafusc
IITRI19310,rhyaotic
IITRI19320,rhyapara
IITRI19340,rhyabank
IITRI19350,rhyainva
IITRI19360,rhyamain
IITRI19370,rhyamyct
IITRI19660,rhyakond
IITRI1H010,agarliba
IITRI1H050,agargris
IITRI20010,micrchar
IITRI20020,micrscot
IITRI20040,micrbenn
IITRI20050,micrrust
IITRI20060,micrwata
IITRI20070,micrburk
IITRI20080,micrspru
IITRI22070,cheupase
IITRI22120,cheuela
IITRI22130,cheugrac
IITRI22141,cheuharwenig
IITRI22142,cheuharw
IITRI22160,cheuburk
IITRI22170,cheucamp
IITRI22180,cheugeor
IITRI22190,cheuminu
IITRI22200,cheuoxa
IITRI22220,cheusord
IITRI22230,cheuspec
IITRI22260,cheuanal
IITRI22280,cheuetro
IITRI22320,cheupare
IITRI22360,cheupina
IITRI22370,cheuvirg
IITRI23020,diplmeta
IITRI23040,diplmode
IITRI24020,homodori
IITRI24060,homomont
IITRI25050,hydrbrun
IITRI25120,hydrfatt
IITRI25130,hydrhage
IITRI25140,hydrinco
IITRI25150,hydrphal
IITRI25160,hydrroto
IITRI25170,hydrscal
IITRI25190,hydrbett
IITRI25200,hydrdepr
IITRI25210,hydrdica
IITRI25220,hydrfris
IITRI25250,hydrvenu
IITRI25270,hydralva
IITRI25310,hydrross
IITRI25340,hydrbass
IITRI25360,hydrcata
IITRI25380,hydrhoff
IITRI25400,hydropth
IITRI25420,hydrpoto
IITRI25450,hydrmiss
IITRI26020,paracard
IITRI26050,paraapic
IITRI27010,dibuanga
IITRI28010,matrjean
IITRI29010,heteamer
IITRI2A030,ceraneph
IITRI2A040,ceraophi
IITRI2A050,cerapunc
IITRI2A090,ceraneff
IITRI2A100,ceraresu
IITRI2A110,ceraancy
IITRI2A120,ceracanc
IITRI2A130,ceraflav
IITRI2A140,ceramacu
IITRI2A150,ceraprot
IITRI2A160,ceratars
IITRI2A170,ceratran
IITRI2A190,ceradilu
IITRI2A200,cerament
IITRI2A210,ceraspon
IITRI2A240,ceraslos1
IITRI2A310,cerauval
IITRI2A320,ceraruth
IITRI2F060,triataen
IITRI2F070,triadips
IITRI2F090,triaflav
IITRI2F100,triaigni
IITRI2F110,triamarg
IITRI2F120,triapern
IITRI2F140,triaaba
IITRI2F180,triainju
IITRI2F200,triatard
IITRI2F240,triaochr
IITRI2G050,oecepers
IITRI2G380,oeceavar
IITRI2G100,oececine
IITRI2G110,oecediti
IITRI2G120,oeceinco
IITRI2G130,oecenoct
IITRI2G150,oeceoste
IITRI2G210,oecesphy
IITRI30020,bankdoss
IITRI31010,phrysayi
IITRI33090,agaphess
IITRI33100,agapirid
IITRI33110,agappina
IITRI33130,agaptomu
IITRI33140,agapminu
IITRI33320,agapwalk
IITRI34030,protmacu
IITRI34060,protgeor
IITRI34080,protpali
IITRI36010,cerabron
IITRI36020,cerachei
IITRI36030,ceramoro
IITRI36040,ceraslos2
IITRI36050,ceraspar
IITRI36060,ceravent
IITRI36120,ceraetni
IITRI36220,cerawalk
IITRI40060,hydramoe
IITRI40080,hydrvala
IITRI40290,hydrcons
IITRI40300,hydrcowe
IITRI40310,hydrgran
IITRI40320,hydrlenn
IITRI40340,hydrtall
IITRI40350,hydrspin
IITRI40370,hydrvirg1
IITRI40380,hydrajax
IITRI40400,hydrarma
IITRI40410,hydrdeli
IITRI40420,hydrgund
IITRI40430,hydrhama
IITRI40460,hydrspat
IITRI40470,hydrwaub
IITRI40480,hydrmeto
IITRI40490,hydrtort
IITRI40520,hydrjack
IITRI40570,hydracad
IITRI40580,hydranis
IITRI40610,hydrarte
IITRI40680,hydrdent
IITRI40710,hydreram
IITRI40720,hydrfisk
IITRI40790,hydrlonc
IITRI40960,hydrmacu
IITRI40980,hydrquin
IITRI41190,ochrgray
IITRI41200,ochrtars
IITRI41220,ochrwojc
IITRI41250,ochrarva
IITRI41340,ochrdenn
IITRI42020,oxyejane
IITRI42040,oxyecoer
IITRI42050,oxyegris
IITRI42070,oxyezero
IITRI42120,oxyedual
IITRI42140,oxyemich
IITRI42170,oxyeforc
IITRI42180,oxyepall
IITRI42260,oxyepesc
IITRI43510,cheuhali
IITRI45070,orthaege
IITRI45080,orthcris
IITRI47010,leucpict
IITRI50050,neotvibr
IITRI52010,agryvest
IITRI62030,bracnigr
IITRI62040,bracnume
IITRI62050,braclate
IITRI63420,ceraalhe
IITRI63460,ceramacl
IITRI63490,cheugyra
IITRI63540,cheuwrig
IITRI63580,hydrfran
IITRI63590,hydrleon
IITRI63680,agracost
IITRI63730,hydrcall
IITRI64010,oxyerivi
IITRI64050,lepiamer
IITRI64070,lepibrya
IITRI64080,lepicarr
IITRI64110,lepicost
IITRI64130,lepilydi
IITRI64140,lepimode
IITRI64150,lepionta
IITRI64240,lepiserr
IITRI64260,lepitibi
IITRI64280,thelgris
IITRI2G340,oeceochr
IITRI64710,frendiff
IITRI64840,ironparv
IITRI65430,pycncons
IITRI65440,pycnflav
IITRI65460,pycnsons
IITRI65720,cernpall
IITRI65750,paradenn
IITRI65790,polycaro
IITRI65870,polypixi
IITRI65950,rhyaacut
IITRI65980,rhyaatra
IITRI66070,apatince
IITRI66150,adichitc
IITRI66170,bracappa
IITRI66190,bracinca
IITRI66210,bracsolo
IITRI66220,bracspin
IITRI66250,gloslivi
IITRI66410,arctirro
IITRI66450,rhyamani
IITRI66850,rhyasimm
IITRI78010,wormmoes
IITRI78030,wormthyr
IITRI78040,wormshaw
IITRI78120,wormmohr
IITRI79010,macrcaro
IITRI79020,macrzebr
IITRI79030,macrtran
IITRI80010,phylplac
IITRI80030,phylcaro1
IITRI80040,phylluci
IITRI80050,phylauri
IITRI81010,lypedive
IITRI82010,psycflav
IITRI82020,psycnoma
IITRI83010,glosinte
IITRI83020,glosnigr
IITRI84010,ithyclav
IITRI85010,nectpavi
IITRI85040,nectcand
IITRI85050,nectexqu
IITRI85060,nectdiar
IITRI86030,setogutt
IITRI86040,setoince
IITRI87010,frenmiss
IITRI88020,ironlyra
IITRI88030,ironpunc
IITRI90020,pycngutt
IITRI90030,pycnlepi
IITRI90040,pycngent
IITRI90050,pycnlucu
IITRI90060,pycnscab
IITRI90070,pycnvirg2
IITRI90080,pycndive
IITRI90090,pycnindi
IITRI90100,pycnsubf
IITRI90110,pycncirc
IITRI90120,pycnanti
IITRI91010,platradi
IITRI92030,pseuspar
IITRI93010,molablen
IITRI93030,molaunio
IITRI93040,molaulme
IITRI93050,molatryp
IITRI95010,goerstyl
IITRI95020,goercalc
IITRI95030,goerfusc
IITRI96020,helibore
IITRI98020,thelmela
IITRI99020,stacdeli
IITRI99030,stacpalm
IITRI99040,stacmart
IITRIA1040,nyctmoes
IITRIA1050,nyctaffi
IITRIA1060,nyctcelt
IITRIA1080,nyctneph
IITRIA3010,neopacut
IITRIA3020,neopatla
IITRIA3030,neopconc
IITRIA3040,neoporna
IITRIA3090,neopfusc
IITRIA3100,neopnaca
IITRIA3110,neopolig
IITRIA3140,neopetni
IITRIA3210,neoptosh
IITRIA3220,neopwigg
IITRIA3230,neopstol
IITRIA3240,neopvirg
IITRIA5010,nemohost
IITRIA8010,anabapor
IITRIA8030,anabcons
IITRIA9010,agramult
IITRIB0010,anispyra
IITRIB1010,cyrnfrat
IITRIB2010,goerbett
IITRIB2030,goersema
IITRIB3010,hydaargu
IITRIB4010,mayaayam
IITRIB5010,mystsepu
IITRIB6010,neurcrep
IITRIB7010,potaflav
IITRIB8010,ptilocel
IITRIB8020,ptilpost
IITRIB8030,ptilsemi
IITRIC0010,palacels
IITRIC2010,leptamer
IITRIC3020,oligpard
IITRID3040,culocant
IITRIG2010,fattpele
IITRIG5010,paraserr
ILACA01010,traepara
ILACA02010,poecextr
ILACA02020,poecweye
ILACA03010,rhagvari
ILARA08020,sphorufi
ILARA08030,sphocoyl
ILARA08040,sphonige
ILARA08050,sphoatla
ILARA12020,lycolent
